id	molecular_formula	name	inchi	inchi_key
HMDB0001645	C6H13NO2	L-Norleucine	InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H,2-4,7H2,1H3,(H,8,9)/t5-/m0/s1	LRQKBLKVPFOOQJ-YFKPBYRVSA-N
HMDB0001659	C3H6O	Acetone	InChI=1S/C3H6O/c1-3(2)4/h1-2H3	CSCPPACGZOOCGX-UHFFFAOYSA-N
HMDB0001713	C9H8O3	m-Coumaric acid	InChI=1S/C9H8O3/c10-8-3-1-2-7(6-8)4-5-9(11)12/h1-6,10H,(H,11,12)/b5-4+	KKSDGJDHHZEWEP-SNAWJCMRSA-N
HMDB0001721	C3H8NO6P	DL-O-Phosphoserine	InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)	BZQFBWGGLXLEPQ-UHFFFAOYSA-N
HMDB0001842	CH5N3	Guanidine	InChI=1S/CH5N3/c2-1(3)4/h(H5,2,3,4)	ZRALSGWEFCBTJO-UHFFFAOYSA-N
HMDB0001844	C5H8O4	Methylsuccinic acid	InChI=1S/C5H8O4/c1-3(5(8)9)2-4(6)7/h3H,2H2,1H3,(H,6,7)(H,8,9)/t3-/m0/s1	WXUAQHNMJWJLTG-VKHMYHEASA-N
HMDB0001846	C19H23N7O6	Tetrahydrofolic acid	InChI=1S/C19H23N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,11-12,21,23H,5-8H2,(H,24,29)(H,27,28)(H,31,32)(H4,20,22,25,26,30)/t11-,12?/m0/s1	MSTNYGQPCMXVAQ-PXYINDEMSA-N
HMDB0001847	C8H10N4O2	Caffeine	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	RYYVLZVUVIJVGH-UHFFFAOYSA-N
HMDB0001849	C16H21NO2	Propranolol	InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3	AQHHHDLHHXJYJD-UHFFFAOYSA-N
HMDB0001850	C27H38N2O4	Verapamil	InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3	SGTNSNPWRIOYBX-UHFFFAOYSA-N
HMDB0001851	C5H12O5	L-Arabitol	InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4-/m0/s1	HEBKCHPVOIAQTA-IMJSIDKUSA-N
HMDB0001854	Te	Tellurium	InChI=1S/Te/q+4	LHBANKJAFPUZQV-UHFFFAOYSA-N
